µ¥´Ê		ÆµÂÊ
the		3566
of		1933
to		1770
and		1399
a		1289
in		1022
his		795
you		756
her		744
he		713
i		636
that		535
it		523
she		491
was		484
grandet		451
with		443
which		443
as		441
is		434
my		423
said		413
at		408
for		404
had		369
have		332
eugenie		297
on		296
him		295
by		295
not		289
all		285
your		268
this		234
monsieur		233
will		230
me		214
are		211
be		208
but		200
from		199
nanon		194
madame		187
they		180
if		179
were		175
so		170
an		167
when		166
who		163
what		161
charles		160
father		158
old		155
one		147
or		145
man		140
no		140
their		138
up		133
good		132
do		129
them		129
we		121
see		120
would		120
well		116
like		112
into		111
out		111
two		110
life		109
there		107
mother		106
upon		105
cousin		104
made		104
francs		101
then		100
about		98
go		98
des		98
gold		97
daughter		96
very		95
has		94
without		92
time		92
love		91
grassins		91
more		91
some		88
where		88
young		86
never		86
come		85
put		83
must		83
poor		82
saumur		82
can		82
than		82
only		82
day		81
yes		80
after		79
now		75
house		75
know		74
could		74
am		73
nothing		72
its		72
did		72
little		71
cruchot		70
down		69
been		69
thought		69
thousand		69
went		68
heart		68
give		67
make		66
here		66
room		65
three		65
president		64
himself		64
took		63
take		63
came		63
hundred		62
back		62
c		62
don't		61
shall		61
answered		61
nephew		60
door		60
paris		60
wife		59
own		59
much		59
de		58
mademoiselle		58
whose		57
first		56
say		56
may		56
cried		56
words		55
these		55
those		55
other		54
still		54
money		54
before		54
such		53
looked		53
us		53
b		52
through		52
eyes		52
moment		51
dear		51
years		50
let		49
might		49
how		49
each		49
over		48
last		47
ta		47
hand		46
girl		46
notary		46
think		45
gave		45
six		45
family		44
t		44
year		44
face		43
get		43
herself		42
every		42
under		42
few		42
ah		42
brought		42
whole		42
woman		41
too		41
uncle		41
our		41
even		41
though		41
always		40
any		40
m		40
tell		39
great		39
women		39
way		39
just		38
night		38
voice		38
end		37
why		37
look		37
should		37
whom		37
want		37
head		37
business		37
certain		35
bed		35
husband		35
many		34
off		34
got		34
perhaps		34
long		34
child		34
world		34
full		34
place		34
most		34
ever		33
master		33
heard		33
property		33
oh		33
god		33
five		33
between		33
find		33
away		33
interest		33
son		33
nor		33
days		32
keep		32
bonfons		32
hands		31
mind		31
asked		31
honor		31
letter		31
wine		31
fortune		31
death		31
soul		30
fire		30
added		30
age		29
abbe		29
four		29
going		29
that's		29
people		29
cold		29
soon		29
brother		29
twenty		29
things		29
something		28
leave		28
once		28
secret		28
true		27
pere		27
rich		27
left		27
right		27
found		27
new		27
called		27
morning		27
yet		27
together		27
cruchots		27
breakfast		26
saying		26
looking		26
pay		26
bread		26
saw		26
father's		26
enough		25
case		25
light		25
myself		25
d'aubrion		25
does		25
read		25
la		25
table		25
garden		25
speak		25
town		24
alone		24
ofthe		24
wish		24
grandet's		24
being		24
l		23
cooper		23
d		23
friend		23
felt		23
marriage		23
eight		23
creditors		23
worth		23
done		23
millions		23
understand		23
n		23
evening		23
turned		23
pale		22
name		22
better		22
glass		22
tears		22
became		22
anything		22
future		22
i'll		22
short		22
hall		22
nature		21
neither		21
round		21
hear		21
held		21
seemed		21
while		21
sugar		21
goodman		21
present		21
froidfond		21
both		21
white		21
live		21
le		21
men		21
cornoiller		21
court		21
eugenie's		20
ought		20
eat		20
having		20
work		20
happiness		20
morrow		20
heiress		20
opened		20
already		20
dinner		20
beside		20
same		20
return		20
besides		20
given		20
wood		19
value		19
yourself		19
wall		19
thus		19
another		19
kissed		19
often		19
talk		19
word		19
fact		19
per		19
half		19
louis		19
thoughts		19
less		18
glance		18
cent		18
pieces		18
estate		18
nine		18
however		18
told		18
received		18
during		18
forty		18
p		18
reached		18
dressing		18
silence		18
because		18
arms		18
chamber		18
thirty		18
i'm		18
mother's		18
taken		18
above		18
knew		17
aunt		17
means		17
eye		17
air		17
can't		17
th		17
therefore		17
won't		17
children		17
g		17
thinking		17
making		17
against		17
fine		17
virgin		17
until		16
law		16
buy		16
fifty		16
game		16
care		16
sum		16
sat		16
able		16
parisian		16
call		16
o'clock		16
indies		16
gone		16
affairs		16
began		16
least		16
matter		16
need		16
seven		16
times		16
filled		16
hold		16
maitre		16
coming		16
spite		16
silent		16
cannot		16
part		16
returned		16
human		15
answer		15
course		15
manners		15
position		15
fellow		15
set		15
pretty		15
either		15
months		15
nearly		15
known		15
lost		15
feet		15
silver		15
none		15
since		15
towards		15
coffee		15
exclaimed		15
power		15
sent		15
interests		15
doubt		15
isn't		15
far		15
friends		15
inthe		15
feel		15
adolphe		15
cast		15
ideas		15
piece		15
candle		15
street		15
feeling		15
cut		15
almost		15
beautiful		15
side		15
yellow		15
funds		15
early		15
walls		15
send		15
window		15
sold		14
open		14
die		14
church		14
ill		14
step		14
fields		14
single		14
beneath		14
month		14
meaning		14
steps		14
feelings		14
kitchen		14
sure		14
ran		14
hour		14
staircase		14
miser		14
social		14
grande		14
bought		14
nose		14
help		14
hope		14
save		14
hearing		14
joy		14
bring		14
within		14
annette		14
hours		13
ha		13
seen		13
usual		13
treasure		13
france		13
cure		13
happy		13
grief		13
also		13
listen		13
use		13
box		13
near		13
stood		13
fell		13
sous		13
kept		13
cost		13
black		13
number		13
order		13
'		13
thing		13
there's		13
failure		13
sale		13
strong		13
h		13
marry		13
water		13
household		13
rose		13
self		12
hein		12
again		12
paid		12
watch		12
mine		12
remained		12
red		12
mourning		12
sleeping		12
sell		12
man's		12
themselves		12
passage		12
beauty		12
debts		12
faith		12
fruit		12
mere		12
notes		12
pocket		12
banker		12
pleasure		12
features		12
delicate		12
lay		12
cousin's		12
trust		12
among		12
drew		12
ear		12
what's		12
struck		12
seems		12
expression		12
dog		12
till		11
suffering		11
taught		11
necessary		11
pity		11
suffer		11
best		11
dress		11
you've		11
desire		11
bound		11
habits		11
mean		11
rather		11
winter		11
later		11
simple		11
sometimes		11
taking		11
ten		11
kind		11
mamma		11
wife's		11
resumed		11
home		11
market		11
gray		11
everything		11
noble		11
hey		11
