µ¥´Ê		ÆµÂÊ
the		3559
of		1932
to		1770
and		1398
a		1289
in		1022
his		794
you		779
her		743
he		724
i		696
that		566
it		534
she		499
was		484
grandet		479
with		443
which		443
as		441
is		434
my		424
said		413
at		408
for		404
had		369
s		362
have		332
eugenie		318
on		296
him		295
by		295
not		289
all		285
your		268
monsieur		234
this		233
will		230
me		214
are		211
be		208
nanon		204
but		200
from		199
t		198
madame		188
father		188
they		183
if		179
what		174
were		174
so		170
charles		170
an		167
when		166
who		165
old		155
man		152
or		148
one		147
no		140
their		138
up		133
good		133
we		131
them		129
do		128
mother		124
there		122
would		120
see		120
cousin		117
well		116
like		112
out		111
into		111
two		110
life		110
upon		105
made		104
daughter		103
francs		102
then		100
can		100
go		98
des		98
about		98
very		95
gold		95
love		94
has		94
grassins		93
without		92
time		92
more		91
where		89
some		88
never		86
young		85
come		85
put		83
must		83
than		82
saumur		82
poor		82
day		82
only		81
yes		80
after		79
now		75
house		75
wife		74
know		74
could		74
am		73
nothing		72
its		72
did		72
little		71
cruchot		71
here		70
thousand		69
thought		69
heart		69
down		69
been		69
went		68
give		67
make		66
three		65
room		65
president		64
himself		64
don		64
d		64
took		63
take		63
came		63
hundred		62
c		62
back		62
shall		61
nephew		61
answered		61
paris		60
door		60
de		60
much		59
own		58
mademoiselle		58
m		58
ll		57
whose		56
say		56
other		56
may		56
first		56
cried		56
words		55
those		55
these		55
moment		55
still		54
money		54
before		54
us		53
such		53
looked		53
through		52
girl		52
eyes		52
b		52
years		51
let		51
dear		50
might		49
how		49
each		49
year		48
over		48
notary		48
ta		47
last		47
hand		46
uncle		45
think		45
six		45
gave		45
woman		44
family		44
get		43
face		43
under		42
herself		42
few		42
every		42
brought		42
ah		42
whole		41
too		41
though		41
our		41
even		41
any		40
always		40
way		39
tell		39
master		39
great		39
women		38
voice		38
night		38
just		38
child		38
brother		38
why		37
whom		37
want		37
should		37
look		37
head		37
end		37
business		37
husband		36
abbe		36
world		35
son		35
certain		35
bed		35
place		34
perhaps		34
off		34
most		34
many		34
long		34
got		34
full		34
property		33
oh		33
nor		33
interest		33
heard		33
god		33
five		33
find		33
ever		33
between		33
away		33
keep		32
days		32
bonfons		32
wine		31
mind		31
letter		31
honor		31
hands		31
fortune		31
death		31
aubrion		31
asked		31
soul		30
l		30
fire		30
cold		30
added		30
twenty		29
things		29
soon		29
people		29
going		29
four		29
age		29
something		28
secret		28
once		28
n		28
leave		28
yet		27
true		27
right		27
rich		27
pere		27
new		27
morning		27
left		27
found		27
cruchots		27
called		27
together		26
saying		26
saw		26
pay		26
looking		26
breakfast		26
bread		26
table		25
speak		25
read		25
myself		25
light		25
la		25
garden		25
enough		25
does		25
case		25
won		24
wish		24
town		24
ofthe		24
friend		24
cooper		24
being		24
alone		24
worth		23
understand		23
turned		23
millions		23
marriage		23
felt		23
evening		23
eight		23
done		23
creditors		23
tears		22
short		22
pale		22
name		22
hall		22
goodman		22
glass		22
future		22
froidfond		22
better		22
became		22
anything		22
white		21
while		21
sugar		21
seemed		21
round		21
present		21
neither		21
nature		21
men		21
live		21
le		21
held		21
heiress		21
hear		21
court		21
cornoiller		21
both		21
work		20
same		20
return		20
ought		20
opened		20
morrow		20
miser		20
having		20
happiness		20
given		20
eat		20
dinner		20
clock		20
besides		20
beside		20
already		20
wood		19
wall		19
ve		19
value		19
thus		19
thoughts		19
talk		19
per		19
often		19
louis		19
kissed		19
half		19
fact		19
another		19
yourself		18
word		18
told		18
thirty		18
taken		18
silence		18
received		18
reached		18
pieces		18
p		18
nine		18
less		18
however		18
glance		18
forty		18
estate		18
during		18
dressing		18
chamber		18
cent		18
because		18
aunt		18
arms		18
above		18
virgin		17
thinking		17
therefore		17
th		17
o		17
means		17
making		17
knew		17
g		17
fine		17
fellow		17
eye		17
children		17
air		17
against		17
until		16
times		16
sum		16
spite		16
silent		16
seven		16
sat		16
returned		16
part		16
parisian		16
need		16
matter		16
maitre		16
least		16
law		16
indies		16
hold		16
gone		16
game		16
filled		16
fifty		16
coming		16
care		16
cannot		16
call		16
buy		16
began		16
affairs		16
able		16
yellow		15
window		15
walls		15
towards		15
street		15
since		15
silver		15
side		15
set		15
sent		15
send		15
pretty		15
power		15
position		15
piece		15
none		15
nearly		15
months		15
manners		15
lost		15
known		15
isn		15
inthe		15
interests		15
ideas		15
human		15
funds		15
friends		15
feet		15
feel		15
far		15
exclaimed		15
either		15
early		15
doubt		15
cut		15
coffee		15
cast		15
candle		15
beautiful		15
answer		15
almost		15
adolphe		15
within		14
sure		14
steps		14
step		14
staircase		14
sous		14
sold		14
social		14
single		14
save		14
ran		14
open		14
nose		14
month		14
meaning		14
kitchen		14
joy		14
ill		14
hours		14
hope		14
help		14
hearing		14
grande		14
fields		14
feelings		14
feeling		14
die		14
course		14
church		14
bring		14
bought		14
beneath		14
annette		14
water		13
use		13
treasure		13
thing		13
strong		13
stood		13
seen		13
rose		13
order		13
number		13
near		13
marry		13
listen		13
kept		13
household		13
hour		13
happy		13
ha		13
h		13
grief		13
france		13
fell		13
failure		13
cure		13
cost		13
box		13
black		13
also		13
watch		12
usual		12
trust		12
themselves		12
struck		12
sleeping		12
sell		12
self		12
seems		12
sale		12
remained		12
red		12
pocket		12
pleasure		12
passage		12
paid		12
notes		12
mourning		12
mine		12
mere		12
lay		12
hein		12
fruit		12
features		12
faith		12
expression		12
ear		12
drew		12
dog		12
delicate		12
debts		12
beauty		12
banker		12
among		12
again		12
winter		11
walked		11
twelve		11
turning		11
tothe		11
till		11
ten		11
taught		11
taking		11
suffering		11
suffer		11
sometimes		11
simple		11
sight		11
show		11
scene		11
resumed		11
rather		11
putting		11
provincial		11
play		11
pity		11
noble		11
next		11
necessary		11
mean		11
market		11
mamma		11
loved		11
later		11
kind		11
iron		11
home		11
high		11
hey		11
habits		11
guillaume		11
grew		11
gray		11
fall		11
everything		11
events		11
dress		11
desire		11
cry		11
country		11
certainly		11
calculations		11
bound		11
best		11
become		11
along		11
wrong		10
weather		10
vintage		10
unknown		10
tongue		10
tone		10
threw		10
thick		10
sun		10
spent		10
shook		10
rest		10
remember		10
ready		10
purse		10
precious		10
persons		10
passion		10
others		10
mistress		10
middle		10
madamegrandet		10
longer		10
living		10
large		10
knows		10
houses		10
friendship		10
foot		10
flowers		10
entered		10
dozen		10
doing		10
didn		10
desgrassins		10
dead		10
dandy		10
cruel		10
cloth		10
clear		10
carried		10
calm		10
butter		10
ask		10
affair		10
yard		9
worn		9
weight		9
wealth		9
v		9
uttered		9
used		9
understood		9
truly		9
trouble		9
thank		9
terrible		9
takes		9
suddenly		9
stay		9
soft		9
sixty		9
sign		9
servant		9
sense		9
seem		9
seeing		9
second		9
ruined		9
pure		9
provinces		9
pleased		9
passed		9
ofher		9
object		9
nevertheless		9
nantes		9
moved		9
merchant		9
melancholy		9
meet		9
mass		9
loves		9
linen		9
lady		9
kiss		9
kill		9
judge		9
journey		9
itself		9
ignorant		9
hopes		9
heaven		9
hard		9
hair		9
grower		9
gift		9
forward		9
forgotten		9
followed		9
fear		9
explain		9
except		9
event		9
deep		9
creditor		9
courts		9
courage		9
costs		9
corner		9
continued		9
common		9
commercial		9
chimney		9
bertelliere		9
believe		9
begin		9
bear		9
bad		9
attention		9
arm		9
angers		9
allowed		9
yours		8
yesterday		8
wen		8
weeping		8
third		8
tender		8
taste		8
talked		8
suppose		8
stairs		8
spring		8
smile		8
sleep		8
sitting		8
shut		8
showed		8
secretly		8
respect		8
replied		8
receive		8
real		8
quite		8
price		8
possible		8
placed		8
past		8
owe		8
onthe		8
office		8
offered		8
obtain		8
obliged		8
nobility		8
minds		8
memory		8
low		8
loto		8
loire		8
lived		8
lighted		8
late		8
laid		8
knowing		8
knife		8
key		8
joys		8
indeed		8
income		8
honest		8
history		8
heavy		8
hearts		8
grown		8
grandets		8
gown		8
gloves		8
gentle		8
gathered		8
frightened		8
fresh		8
franc		8
formerly		8
floor		8
fete		8
fate		8
farmers		8
fallen		8
f		8
exchange		8
entrance		8
enormous		8
dressed		8
devil		8
departure		8
deed		8
deal		8
daily		8
customs		8
covered		8
conversation		8
conduct		8
comes		8
christian		8
chair		8
carry		8
birth		8
beginning		8
avarice		8
appearance		8
anjou		8
account		8
youth		7
wished		7
vineyards		7
trees		7
tree		7
travelling		7
title		7
thehouse		7
talking		7
strength		7
spread		7
spend		7
souls		7
society		7
sit		7
serious		7
seat		7
sake		7
sad		7
rights		7
public		7
presence		7
possessed		7
person		7
permit		7
perfectly		7
penny		7
pain		7
occasion		7
noise		7
natural		7
million		7
meeting		7
marquis		7
lips		7
length		7
leaving		7
laughing		7
knock		7
inventory		7
interrupting		7
influence		7
horses		7
holy		7
hercousin		7
hat		7
ground		7
grace		7
giving		7
girls		7
gilt		7
gentleman		7
free		7
forever		7
figure		7
failed		7
fail		7
faces		7
entering		7
emotion		7
eleven		7
eighty		7
eggs		7
education		7
echoed		7
eaten		7
doors		7
cruchotines		7
confidence		7
company		7
claims		7
carrying		7
carriage		7
carefully		7
capital		7
born		7
birthday		7
bench		7
begun		7
beg		7
arrondissement		7
announced		7
actions		7
according		7
write		6
worthy		6
whether		6
weep		6
w		6
vine		6
turn		6
try		6
trembled		6
total		6
top		6
tired		6
thousandfrancs		6
thepresident		6
taxes		6
sweat		6
success		6
sublime		6
stopped		6
stone		6
spoke		6
speech		6
special		6
sound		6
sort		6
sooner		6
sole		6
smiled		6
small		6
slowly		6
simplicity		6
shown		6
settled		6
settle		6
sentence		6
seized		6
season		6
says		6
required		6
render		6
remark		6
r		6
quiet		6
proper		6
prey		6
presently		6
presented		6
prayers		6
possessions		6
possess		6
please		6
pious		6
parish		6
pardon		6
orders		6
opening		6
offer		6
obey		6
ninety		6
neighbor		6
neck		6
nails		6
movement		6
monsieurgrandet		6
moments		6
misers		6
midst		6
midday		6
married		6
makes		6
lying		6
luxury		6
loud		6
loose		6
looks		6
livres		6
lives		6
liquidate		6
lend		6
lead		6
laws		6
lately		6
landing		6
knees		6
kisses		6
kindness		6
killed		6
keeping		6
keeper		6
jewels		6
intentions		6
innocent		6
inher		6
impossible		6
important		6
horrible		6
holding		6
hermother		6
henceforth		6
haven		6
guard		6
grassinists		6
grapes		6
glances		6
getting		6
generous		6
galette		6
further		6
fully		6
front		6
frippe		6
frightful		6
former		6
forehead		6
forced		6
force		6
fool		6
folly		6
following		6
finding		6
fifteen		6
fastened		6
fast		6
fashion		6
fancy		6
expected		6
etc		6
else		6
easy		6
ease		6
dying		6
dwelling		6
duty		6
dry		6
draw		6
double		6
doesn		6
